Company,Job Title,Location,Remote,Experience Level,Date Posted,Easy Apply,Applicants,Required Skills,Salary
Found By Few,Data Scientist,Saudi Arabia,No,Freelance,2025-01-30,Yes,347,"Big Data, Excel, Tableau",$70K - $90K
CapsLock,Data Analyst,UAE,No,Internship,2025-02-15,Yes,345,"ETL, Data Visualization, Big Data, Tableau",$70K - $90K
Found By Few,Trainee Data Analyst,Portugal,Yes,Senior,2025-01-24,Yes,333,"Big Data, Power BI, Python, Tableau, Data Visualization, ETL",$50K - $70K
TELUS Digital,Data Science Intern,United Kingdom,Yes,Fellowship,2025-01-29,No,378,"Power BI, Statistics, SQL",Not Disclosed
Peroptyx,Data Science Intern,United Kingdom,Yes,Mid-level,2025-01-28,No,74,"Power BI, Machine Learning, Python, Data Visualization, Excel",€35K - €45K
Binance,Data Science Intern,Portugal,Yes,Freelance,2025-02-06,Yes,177,"Python, Big Data, ETL",£40K - £50K
Talent Glider,Online Data Analyst,Spain,No,Senior,2025-02-22,No,149,"Data Visualization, Machine Learning, Tableau, Big Data, Statistics",£30K - £40K
Found By Few,Online Data Analyst,Germany,Yes,Trainee,2025-02-13,Yes,360,"Tableau, Python, Big Data, ETL, Statistics, Data Visualization",$70K - $90K
TELUS Digital,Online Data Analyst,Saudi Arabia,No,Fellowship,2025-02-08,Yes,369,"Big Data, Python, Power BI, Tableau, Data Visualization, SQL",£30K - £40K
Found By Few,Trainee Data Analyst,Portugal,No,Trainee,2025-02-15,Yes,404,"Power BI, Tableau, Statistics",£30K - £40K
Binance,Freelance Online Data Analyst,France,Yes,Fellowship,2025-01-30,No,256,"Machine Learning, Power BI, ETL, Tableau, Python",$70K - $90K
CapsLock,Online Data Analyst,Poland,Yes,Freelance,2025-02-21,No,259,"Statistics, ETL, Excel",$50K - $70K
TELUS Digital,Data Analyst,France,Yes,Mid-level,2025-02-15,No,157,"SQL, Data Visualization, Tableau, ETL, Python",€35K - €45K
Oeson Learning™,Freelance Online Data Analyst,Norway,No,Fellowship,2025-02-11,No,398,"Machine Learning, Power BI, ETL, Excel, Data Visualization, Tableau",£40K - £50K
Talent Glider,Data Analyst,France,No,Senior,2025-01-28,Yes,288,"Big Data, Excel, Python, SQL, Data Visualization",Not Disclosed
Peroptyx,Online Data Analyst,France,No,Entry-level,2025-01-24,Yes,30,"Python, Excel, Tableau, Big Data, Machine Learning, SQL",£40K - £50K
Peroptyx,Data Analyst,Portugal,No,Mid-level,2025-02-17,Yes,384,"ETL, Power BI, Tableau, Big Data",£30K - £40K
Cochrane,Online Data Analyst,Poland,No,Freelance,2025-02-10,No,29,"Data Visualization, SQL, Excel, Tableau",€50K - €60K
CONNECTMETA.AI,Freelance Online Data Analyst,Germany,Yes,Freelance,2025-02-04,Yes,180,"Big Data, Power BI, Python, Machine Learning, Excel",Not Disclosed
Binance,Data Scientist,Ireland,No,Senior,2025-02-15,Yes,414,"SQL, Tableau, Machine Learning, Big Data, ETL",$70K - $90K
TELUS Digital,Sustainability Data Analyst,UAE,Yes,Trainee,2025-02-10,No,397,"Tableau, Machine Learning, Excel, Statistics",£40K - £50K
Dataleum,Online Data Analyst,France,Yes,Internship,2025-01-27,No,264,"Big Data, Excel, Tableau, Machine Learning, Power BI, Python",Not Disclosed
Found By Few,Online Data Analyst,Spain,No,Senior,2025-01-24,No,373,"Data Visualization, Python, Excel, ETL",€35K - €45K
Talent Glider,Trainee Data Analyst,Portugal,Yes,Trainee,2025-02-07,Yes,56,"Machine Learning, Data Visualization, Python, Tableau",€50K - €60K
Dataleum,Freelance Online Data Analyst,Germany,Yes,Freelance,2025-02-16,Yes,366,"Tableau, Excel, Big Data, Statistics, ETL",€35K - €45K
Peroptyx,Online Data Analyst,Germany,No,Mid-level,2025-02-10,Yes,500,"Big Data, Statistics, ETL",£30K - £40K
CONNECTMETA.AI,Trainee Data Analyst,Nigeria,No,Internship,2025-01-29,Yes,179,"ETL, SQL, Power BI, Big Data, Statistics",Not Disclosed
Peroptyx,Trainee Data Analyst,United Kingdom,No,Senior,2025-02-06,Yes,492,"Big Data, Data Visualization, Power BI, Machine Learning, Python, ETL",€50K - €60K
TELUS Digital,Data Science Intern,Poland,Yes,Mid-level,2025-02-03,No,202,"Python, Tableau, Statistics",£40K - £50K
Dataleum,Trainee Data Analyst,United Kingdom,No,Mid-level,2025-02-16,No,378,"Power BI, SQL, Big Data, Python",€50K - €60K
CONNECTMETA.AI,Sustainability Data Analyst,Poland,No,Internship,2025-02-12,Yes,363,"Tableau, Power BI, Python, Statistics, ETL",£30K - £40K
CONNECTMETA.AI,Data Science Intern,Spain,Yes,Internship,2025-02-13,Yes,430,"Excel, ETL, Python, Data Visualization, Big Data",£30K - £40K
Talent Glider,Trainee Data Analyst,Saudi Arabia,Yes,Mid-level,2025-02-05,No,313,"Power BI, Statistics, Big Data, Machine Learning",$50K - $70K
CapsLock,Data Scientist,Spain,No,Freelance,2025-01-24,Yes,500,"Excel, Data Visualization, ETL, Power BI, Python",Not Disclosed
CONNECTMETA.AI,Online Data Analyst,UAE,Yes,Mid-level,2025-01-31,No,325,"Python, SQL, Excel, ETL, Power BI, Statistics",Not Disclosed
Found By Few,Data Scientist,Spain,No,Internship,2025-01-30,No,288,"ETL, Excel, Python, Data Visualization, Tableau",€35K - €45K
CONNECTMETA.AI,Sustainability Data Analyst,Saudi Arabia,No,Internship,2025-01-30,No,57,"Data Visualization, Big Data, Excel, SQL, Python, ETL",$70K - $90K
Binance,Data Analyst,Poland,No,Internship,2025-02-21,No,408,"Data Visualization, ETL, Tableau, SQL",$70K - $90K
Oeson Learning™,Sustainability Data Analyst,Portugal,Yes,Senior,2025-02-07,Yes,98,"Tableau, ETL, Excel",£40K - £50K
Talent Glider,Sustainability Data Analyst,Italy,No,Internship,2025-02-17,Yes,273,"Statistics, Power BI, Excel, Big Data, Python, Machine Learning",Not Disclosed
CapsLock,Online Data Analyst,United Kingdom,Yes,Senior,2025-01-30,No,144,"ETL, SQL, Power BI",$70K - $90K
CapsLock,Data Scientist,Ireland,No,Senior,2025-01-28,No,16,"SQL, Power BI, Tableau, Big Data, Data Visualization",£40K - £50K
TELUS Digital,Trainee Data Analyst,Italy,Yes,Trainee,2025-02-06,No,262,"Machine Learning, Python, Tableau",$50K - $70K
Dataleum,Trainee Data Analyst,Ireland,Yes,Freelance,2025-02-02,Yes,392,"SQL, ETL, Excel, Data Visualization, Big Data",Not Disclosed
CONNECTMETA.AI,Sustainability Data Analyst,Norway,Yes,Fellowship,2025-02-04,No,402,"Machine Learning, Excel, Big Data, Python, Statistics",$70K - $90K
Oeson Learning™,Trainee Data Analyst,Portugal,No,Freelance,2025-02-15,Yes,294,"Machine Learning, Excel, Big Data",$70K - $90K
CONNECTMETA.AI,Online Data Analyst,Norway,No,Freelance,2025-02-14,No,367,"ETL, Excel, Tableau, Data Visualization",€35K - €45K
CapsLock,Online Data Analyst,Spain,Yes,Internship,2025-01-24,Yes,423,"Tableau, Python, Machine Learning, Data Visualization, Power BI",€35K - €45K
Found By Few,Online Data Analyst,France,No,Entry-level,2025-02-19,No,453,"Excel, Statistics, Big Data",$70K - $90K
Found By Few,Data Analyst,Nigeria,No,Mid-level,2025-02-17,No,336,"Power BI, Data Visualization, Statistics, Big Data, ETL, Excel",€50K - €60K
Peroptyx,Data Science Intern,Spain,No,Mid-level,2025-01-25,No,472,"Excel, Tableau, Data Visualization, Big Data, ETL, SQL",$50K - $70K
Talent Glider,Sustainability Data Analyst,UAE,No,Mid-level,2025-02-03,No,265,"Machine Learning, Big Data, SQL, Python, Tableau, Power BI",€50K - €60K
Found By Few,Data Science Intern,Norway,Yes,Internship,2025-02-01,Yes,33,"SQL, ETL, Statistics, Tableau, Big Data",€50K - €60K
CONNECTMETA.AI,Trainee Data Analyst,Italy,Yes,Fellowship,2025-02-18,No,223,"Power BI, Python, Data Visualization, ETL",Not Disclosed
Found By Few,Sustainability Data Analyst,Portugal,No,Internship,2025-01-28,Yes,318,"Statistics, Machine Learning, Tableau, SQL, Big Data, ETL",£40K - £50K
Peroptyx,Trainee Data Analyst,Nigeria,Yes,Freelance,2025-02-13,Yes,18,"Tableau, Machine Learning, SQL, Python",£30K - £40K
Binance,Online Data Analyst,Italy,Yes,Fellowship,2025-02-04,Yes,372,"Excel, Machine Learning, Python, Data Visualization, ETL, Tableau",£30K - £40K
Oeson Learning™,Data Science Intern,United Kingdom,Yes,Mid-level,2025-02-07,Yes,53,"Statistics, SQL, Excel, ETL, Python",£40K - £50K
Talent Glider,Freelance Online Data Analyst,Spain,Yes,Freelance,2025-02-03,Yes,487,"Python, Excel, ETL",£40K - £50K
CapsLock,Data Analyst,France,Yes,Freelance,2025-02-22,No,461,"Python, Data Visualization, Tableau, Machine Learning",£30K - £40K
Found By Few,Freelance Online Data Analyst,Spain,Yes,Entry-level,2025-02-03,No,280,"SQL, ETL, Excel",Not Disclosed
CapsLock,Sustainability Data Analyst,United Kingdom,Yes,Trainee,2025-02-13,Yes,453,"Data Visualization, Machine Learning, Tableau, Statistics, Big Data",€35K - €45K
Dataleum,Freelance Online Data Analyst,Germany,Yes,Entry-level,2025-01-27,No,345,"Python, SQL, Big Data",£30K - £40K
Peroptyx,Online Data Analyst,France,Yes,Freelance,2025-02-13,No,219,"Excel, Big Data, Tableau",£40K - £50K
Found By Few,Sustainability Data Analyst,Germany,Yes,Trainee,2025-01-24,Yes,172,"SQL, Tableau, Excel, Python, Data Visualization",Not Disclosed
CapsLock,Freelance Online Data Analyst,Italy,Yes,Entry-level,2025-02-16,No,432,"Big Data, Power BI, Excel, SQL, Tableau, Data Visualization",$70K - $90K
Oeson Learning™,Online Data Analyst,Italy,No,Internship,2025-02-07,Yes,315,"Statistics, Big Data, Data Visualization, Tableau, Machine Learning",$50K - $70K
CapsLock,Data Scientist,Spain,No,Mid-level,2025-02-16,Yes,73,"Power BI, Excel, SQL, Big Data, Python",€50K - €60K
CONNECTMETA.AI,Data Scientist,Spain,No,Senior,2025-02-18,No,58,"ETL, Tableau, Data Visualization",$50K - $70K
Binance,Sustainability Data Analyst,Ireland,Yes,Fellowship,2025-02-22,Yes,438,"SQL, Excel, Python, Tableau, ETL, Statistics",£40K - £50K
CapsLock,Sustainability Data Analyst,Portugal,No,Entry-level,2025-02-16,No,466,"ETL, Data Visualization, Excel",€35K - €45K
Peroptyx,Sustainability Data Analyst,France,No,Mid-level,2025-02-09,No,40,"Tableau, Machine Learning, Statistics, Python",£30K - £40K
CONNECTMETA.AI,Data Analyst,Poland,No,Fellowship,2025-01-29,Yes,42,"Big Data, SQL, ETL, Machine Learning, Data Visualization, Statistics",$70K - $90K
Peroptyx,Online Data Analyst,Spain,Yes,Mid-level,2025-02-18,Yes,351,"Power BI, SQL, Big Data, Statistics, ETL",$70K - $90K
Cochrane,Data Scientist,Norway,Yes,Mid-level,2025-02-18,Yes,171,"Tableau, Big Data, Excel, ETL, Machine Learning, SQL",€35K - €45K
Dataleum,Data Science Intern,Italy,Yes,Fellowship,2025-01-28,Yes,196,"ETL, SQL, Power BI, Machine Learning, Statistics",Not Disclosed
CapsLock,Data Science Intern,United Kingdom,Yes,Freelance,2025-01-27,Yes,351,"Excel, Data Visualization, ETL, SQL, Tableau",$70K - $90K
CapsLock,Data Analyst,Nigeria,No,Trainee,2025-01-29,No,317,"Tableau, Python, Data Visualization, SQL, Excel, ETL",€50K - €60K
CONNECTMETA.AI,Trainee Data Analyst,Spain,No,Entry-level,2025-02-10,Yes,173,"Excel, Tableau, SQL, Machine Learning, Big Data, ETL",$50K - $70K
Dataleum,Freelance Online Data Analyst,Poland,Yes,Freelance,2025-02-13,No,95,"SQL, Big Data, Machine Learning, Tableau",€35K - €45K
CapsLock,Data Scientist,UAE,Yes,Senior,2025-01-31,No,80,"Excel, Python, Power BI",$70K - $90K
CONNECTMETA.AI,Sustainability Data Analyst,Poland,No,Trainee,2025-02-11,Yes,132,"Python, Excel, Tableau, Big Data",€50K - €60K
CapsLock,Sustainability Data Analyst,UAE,Yes,Entry-level,2025-02-10,Yes,376,"Machine Learning, Excel, Power BI, Tableau, Data Visualization, Statistics",£30K - £40K
Found By Few,Data Scientist,Ireland,Yes,Senior,2025-02-08,No,471,"Tableau, Data Visualization, Power BI, Big Data, Python",£30K - £40K
CONNECTMETA.AI,Online Data Analyst,Ireland,No,Internship,2025-02-05,Yes,424,"Tableau, Statistics, Python, Data Visualization, Power BI",$50K - $70K
Dataleum,Data Science Intern,France,No,Internship,2025-01-25,Yes,153,"SQL, Machine Learning, Power BI",€50K - €60K
TELUS Digital,Trainee Data Analyst,Poland,Yes,Senior,2025-01-30,No,249,"Power BI, Big Data, Excel, ETL",£30K - £40K
Oeson Learning™,Freelance Online Data Analyst,Italy,Yes,Internship,2025-02-01,Yes,377,"Statistics, ETL, Data Visualization, Power BI, Tableau, SQL",$70K - $90K
CONNECTMETA.AI,Sustainability Data Analyst,Portugal,No,Mid-level,2025-02-19,Yes,162,"Statistics, Excel, Python, Big Data, Data Visualization",Not Disclosed
CapsLock,Online Data Analyst,Germany,Yes,Internship,2025-02-11,Yes,152,"SQL, Power BI, Excel, Big Data",$50K - $70K
Oeson Learning™,Data Analyst,Ireland,Yes,Entry-level,2025-02-17,Yes,135,"Machine Learning, Data Visualization, Tableau, Power BI, ETL",$50K - $70K
Binance,Data Scientist,Nigeria,No,Entry-level,2025-01-28,Yes,337,"Power BI, Data Visualization, Excel, SQL, Big Data",£30K - £40K
CapsLock,Data Scientist,Italy,Yes,Fellowship,2025-02-03,No,188,"Power BI, ETL, Statistics, Big Data, Excel",€50K - €60K
TELUS Digital,Data Science Intern,Portugal,No,Fellowship,2025-02-11,Yes,379,"SQL, Power BI, Python, Excel, Tableau",€35K - €45K
Cochrane,Data Scientist,France,Yes,Mid-level,2025-02-02,No,113,"ETL, Python, SQL, Power BI",Not Disclosed
Cochrane,Sustainability Data Analyst,Italy,No,Mid-level,2025-01-27,No,445,"Tableau, Python, Statistics",Not Disclosed
Binance,Data Analyst,UAE,Yes,Fellowship,2025-02-18,Yes,485,"Excel, SQL, Python, Machine Learning, ETL, Data Visualization",$50K - $70K
Found By Few,Trainee Data Analyst,Saudi Arabia,No,Mid-level,2025-02-04,Yes,162,"ETL, Tableau, Power BI, Big Data, Statistics",Not Disclosed
CapsLock,Sustainability Data Analyst,United Kingdom,No,Entry-level,2025-01-28,No,258,"Excel, Machine Learning, Tableau, Big Data, Data Visualization, SQL",Not Disclosed
CapsLock,Sustainability Data Analyst,Italy,Yes,Entry-level,2025-02-02,Yes,498,"SQL, Statistics, ETL",€35K - €45K
Oeson Learning™,Sustainability Data Analyst,Nigeria,Yes,Internship,2025-02-02,Yes,165,"Data Visualization, SQL, Excel",Not Disclosed
Talent Glider,Data Scientist,Ireland,No,Freelance,2025-01-27,No,153,"Data Visualization, Power BI, Machine Learning, SQL, Statistics",£30K - £40K
TELUS Digital,Data Scientist,Italy,No,Entry-level,2025-02-21,Yes,457,"Big Data, Machine Learning, Python, Excel, Power BI",$50K - $70K
CapsLock,Freelance Online Data Analyst,Spain,No,Freelance,2025-02-16,Yes,448,"Machine Learning, Python, ETL, Power BI, Data Visualization",£30K - £40K
CapsLock,Data Scientist,United Kingdom,Yes,Senior,2025-02-06,No,119,"Data Visualization, ETL, Excel",$70K - $90K
CapsLock,Data Science Intern,Portugal,Yes,Freelance,2025-01-24,No,25,"Excel, Data Visualization, Machine Learning",£40K - £50K
Cochrane,Online Data Analyst,Ireland,Yes,Senior,2025-02-11,No,421,"Power BI, Big Data, Tableau, Machine Learning, SQL, Statistics",€50K - €60K
TELUS Digital,Freelance Online Data Analyst,France,Yes,Fellowship,2025-02-08,Yes,344,"Excel, Big Data, Machine Learning, Power BI, Tableau",Not Disclosed
Dataleum,Data Analyst,Saudi Arabia,No,Entry-level,2025-01-29,No,125,"Machine Learning, Data Visualization, Tableau, Big Data",£40K - £50K
Oeson Learning™,Sustainability Data Analyst,Norway,No,Trainee,2025-02-12,No,256,"Big Data, Excel, Tableau, Statistics",€35K - €45K
CapsLock,Sustainability Data Analyst,Germany,No,Internship,2025-02-09,Yes,133,"ETL, Excel, SQL",Not Disclosed
Cochrane,Online Data Analyst,Norway,No,Entry-level,2025-01-25,No,258,"SQL, Power BI, Big Data, ETL, Statistics, Tableau",€50K - €60K
CapsLock,Online Data Analyst,United Kingdom,No,Trainee,2025-02-06,No,369,"Python, Power BI, SQL",$70K - $90K
Talent Glider,Online Data Analyst,Nigeria,Yes,Senior,2025-01-24,Yes,213,"Machine Learning, Tableau, ETL, Big Data",£30K - £40K
Oeson Learning™,Data Analyst,Portugal,Yes,Entry-level,2025-01-31,Yes,315,"Machine Learning, SQL, Big Data, Python, ETL",€35K - €45K
Found By Few,Freelance Online Data Analyst,UAE,No,Mid-level,2025-02-15,No,90,"ETL, Power BI, Excel",£40K - £50K
Talent Glider,Data Scientist,France,No,Trainee,2025-02-11,Yes,347,"Power BI, Big Data, Statistics, Tableau, SQL",$70K - $90K
CapsLock,Freelance Online Data Analyst,Saudi Arabia,Yes,Fellowship,2025-02-09,Yes,247,"Big Data, Power BI, SQL, Python, Tableau",$50K - $70K
Oeson Learning™,Trainee Data Analyst,Italy,Yes,Entry-level,2025-01-29,Yes,363,"Power BI, Tableau, Python, Statistics, SQL",$50K - $70K
Cochrane,Sustainability Data Analyst,UAE,Yes,Internship,2025-02-22,No,226,"Machine Learning, SQL, Big Data, Statistics",£30K - £40K
CONNECTMETA.AI,Data Scientist,Spain,Yes,Entry-level,2025-02-03,Yes,377,"Big Data, Python, Tableau, Power BI, Machine Learning, ETL",£40K - £50K
CapsLock,Freelance Online Data Analyst,Norway,No,Senior,2025-02-20,No,205,"Power BI, SQL, Big Data, Tableau, Machine Learning, Statistics",$70K - $90K
CapsLock,Sustainability Data Analyst,Spain,Yes,Entry-level,2025-01-27,Yes,167,"Machine Learning, Python, Big Data, Tableau, Power BI",€35K - €45K
CONNECTMETA.AI,Data Analyst,Poland,Yes,Entry-level,2025-01-28,No,275,"Big Data, Tableau, Statistics, Excel, ETL",€35K - €45K
Binance,Trainee Data Analyst,Spain,Yes,Entry-level,2025-02-22,No,83,"Machine Learning, Statistics, Excel, Tableau, Power BI",€35K - €45K
Found By Few,Data Scientist,Nigeria,Yes,Trainee,2025-02-07,No,210,"Excel, Big Data, Data Visualization",£40K - £50K
Oeson Learning™,Data Scientist,UAE,No,Senior,2025-02-06,No,172,"Excel, Tableau, Statistics, Python",£40K - £50K
Cochrane,Freelance Online Data Analyst,United Kingdom,Yes,Senior,2025-02-16,No,108,"Big Data, Machine Learning, SQL",€50K - €60K
Oeson Learning™,Data Scientist,Spain,No,Trainee,2025-02-09,No,260,"ETL, Machine Learning, Data Visualization, Power BI, Excel, Python",£40K - £50K
Dataleum,Freelance Online Data Analyst,Italy,No,Freelance,2025-02-22,Yes,122,"Python, Tableau, Statistics, Excel, SQL, Big Data",£40K - £50K
Peroptyx,Trainee Data Analyst,Saudi Arabia,No,Entry-level,2025-02-07,Yes,373,"Python, Big Data, Tableau, Data Visualization, Machine Learning, ETL",£40K - £50K
Cochrane,Freelance Online Data Analyst,France,Yes,Internship,2025-02-14,No,498,"Excel, Data Visualization, Statistics",£40K - £50K
Cochrane,Freelance Online Data Analyst,Ireland,Yes,Internship,2025-02-17,No,318,"Excel, Machine Learning, Big Data, ETL, SQL, Python",$70K - $90K
TELUS Digital,Data Scientist,Italy,No,Fellowship,2025-02-16,No,310,"Python, Power BI, Statistics, Big Data, Excel",Not Disclosed
CapsLock,Data Scientist,United Kingdom,Yes,Mid-level,2025-02-19,No,343,"Statistics, Tableau, SQL, Big Data, ETL, Machine Learning",£40K - £50K
Binance,Data Scientist,Ireland,Yes,Freelance,2025-01-30,No,352,"Big Data, Power BI, Tableau, Python, SQL, ETL",£40K - £50K
TELUS Digital,Sustainability Data Analyst,Germany,Yes,Internship,2025-02-06,Yes,17,"Python, Excel, SQL, Data Visualization",$50K - $70K
Peroptyx,Data Science Intern,Italy,No,Trainee,2025-01-28,No,283,"Machine Learning, Power BI, ETL, Data Visualization, Excel",€35K - €45K
Talent Glider,Data Science Intern,Norway,No,Fellowship,2025-02-20,No,382,"Statistics, Excel, Big Data, Machine Learning",£30K - £40K
Cochrane,Freelance Online Data Analyst,Nigeria,No,Senior,2025-02-10,No,175,"Statistics, ETL, Python",$50K - $70K
Found By Few,Data Analyst,United Kingdom,Yes,Entry-level,2025-02-11,No,308,"Big Data, Python, ETL",£30K - £40K
Talent Glider,Trainee Data Analyst,UAE,No,Trainee,2025-01-31,No,44,"Python, ETL, Big Data, SQL",Not Disclosed
Peroptyx,Data Scientist,Saudi Arabia,No,Internship,2025-01-24,No,440,"ETL, Big Data, Statistics, Data Visualization, SQL, Power BI",Not Disclosed
Talent Glider,Online Data Analyst,France,No,Freelance,2025-02-15,Yes,40,"Statistics, Excel, Power BI, Big Data, Tableau",€50K - €60K
Peroptyx,Trainee Data Analyst,Italy,No,Senior,2025-02-15,Yes,179,"ETL, Statistics, Machine Learning, Power BI, Data Visualization, Tableau",£40K - £50K
Talent Glider,Data Scientist,France,No,Freelance,2025-02-22,Yes,500,"SQL, Excel, Power BI",€35K - €45K
Talent Glider,Online Data Analyst,Poland,No,Entry-level,2025-01-28,No,216,"Python, Big Data, Data Visualization, Excel, Power BI",€50K - €60K
Dataleum,Sustainability Data Analyst,Spain,Yes,Entry-level,2025-02-13,Yes,334,"Power BI, Statistics, Data Visualization",£30K - £40K
Oeson Learning™,Freelance Online Data Analyst,Poland,No,Trainee,2025-02-02,Yes,81,"SQL, Power BI, Excel, ETL",$70K - $90K
Talent Glider,Trainee Data Analyst,Nigeria,No,Freelance,2025-02-21,Yes,249,"Tableau, Machine Learning, SQL, Excel, Statistics",Not Disclosed
Found By Few,Data Analyst,United Kingdom,Yes,Fellowship,2025-02-15,No,464,"ETL, SQL, Statistics, Power BI, Excel",£40K - £50K
Binance,Trainee Data Analyst,Portugal,No,Trainee,2025-02-04,Yes,285,"Power BI, Machine Learning, Statistics, Data Visualization, Excel, SQL",Not Disclosed
Peroptyx,Freelance Online Data Analyst,Nigeria,Yes,Senior,2025-01-30,No,33,"Big Data, ETL, Python",$50K - $70K
CapsLock,Online Data Analyst,Italy,No,Internship,2025-02-13,Yes,376,"Machine Learning, Power BI, Data Visualization",€50K - €60K
TELUS Digital,Online Data Analyst,Poland,Yes,Internship,2025-01-26,Yes,366,"Data Visualization, Big Data, Machine Learning, Statistics",£40K - £50K
CapsLock,Sustainability Data Analyst,Saudi Arabia,No,Internship,2025-02-14,Yes,307,"Python, Machine Learning, Excel, Big Data, SQL, ETL",€35K - €45K
Binance,Online Data Analyst,Ireland,Yes,Fellowship,2025-01-26,Yes,281,"ETL, Big Data, Excel, Machine Learning",$70K - $90K
Talent Glider,Sustainability Data Analyst,Germany,No,Senior,2025-01-30,Yes,104,"Machine Learning, Excel, Data Visualization",Not Disclosed
CapsLock,Data Analyst,Ireland,No,Fellowship,2025-02-09,No,231,"SQL, Machine Learning, ETL, Statistics, Data Visualization, Excel",£30K - £40K
CapsLock,Data Analyst,Nigeria,No,Internship,2025-02-06,Yes,12,"Python, Data Visualization, Big Data, Power BI, Statistics, Machine Learning",$70K - $90K
CapsLock,Data Science Intern,Nigeria,No,Fellowship,2025-02-18,No,313,"Power BI, Excel, ETL, Python, Data Visualization",Not Disclosed
Talent Glider,Trainee Data Analyst,Portugal,No,Entry-level,2025-02-03,Yes,167,"ETL, Machine Learning, SQL, Statistics, Python, Excel",$50K - $70K
Peroptyx,Data Analyst,France,No,Mid-level,2025-02-10,Yes,104,"SQL, Excel, Machine Learning, Data Visualization, Power BI, ETL",Not Disclosed
Oeson Learning™,Data Scientist,UAE,No,Entry-level,2025-02-18,No,200,"ETL, SQL, Tableau, Data Visualization, Machine Learning, Python",€50K - €60K
Found By Few,Data Scientist,United Kingdom,No,Senior,2025-02-21,Yes,271,"Statistics, ETL, Data Visualization, Power BI",€50K - €60K
CONNECTMETA.AI,Online Data Analyst,Poland,Yes,Senior,2025-02-01,No,311,"Python, Machine Learning, Big Data, Excel",£40K - £50K
CapsLock,Data Science Intern,Italy,No,Trainee,2025-02-02,Yes,335,"Python, Excel, Big Data",£30K - £40K
Oeson Learning™,Sustainability Data Analyst,Italy,No,Senior,2025-01-26,No,23,"Excel, Tableau, ETL, Machine Learning",€35K - €45K
Binance,Sustainability Data Analyst,Ireland,No,Senior,2025-02-05,No,444,"ETL, Big Data, Python, Excel",$70K - $90K
Talent Glider,Freelance Online Data Analyst,Saudi Arabia,No,Mid-level,2025-02-19,Yes,22,"Tableau, Excel, Big Data",£30K - £40K
Binance,Data Scientist,Spain,Yes,Senior,2025-01-25,Yes,397,"Statistics, SQL, Big Data, Power BI, Machine Learning, Tableau",£40K - £50K
Cochrane,Trainee Data Analyst,Spain,No,Entry-level,2025-02-01,Yes,243,"ETL, SQL, Python, Machine Learning, Statistics, Tableau",€50K - €60K
Binance,Freelance Online Data Analyst,Poland,Yes,Freelance,2025-02-21,No,373,"Tableau, SQL, Big Data, Machine Learning",$70K - $90K
Peroptyx,Data Science Intern,Nigeria,Yes,Mid-level,2025-01-26,No,280,"Tableau, Python, Machine Learning, ETL",€50K - €60K
Binance,Freelance Online Data Analyst,Saudi Arabia,Yes,Entry-level,2025-01-29,No,300,"Data Visualization, Python, Statistics, ETL",£30K - £40K
Talent Glider,Trainee Data Analyst,United Kingdom,No,Entry-level,2025-02-14,Yes,181,"Python, Power BI, Data Visualization",£40K - £50K
Cochrane,Data Scientist,Saudi Arabia,No,Internship,2025-01-30,No,173,"Tableau, Excel, Big Data",$50K - $70K
TELUS Digital,Data Science Intern,France,Yes,Senior,2025-02-10,Yes,88,"Power BI, Machine Learning, Big Data, Tableau, Excel",€35K - €45K
Talent Glider,Data Science Intern,Germany,No,Internship,2025-02-03,Yes,82,"SQL, Excel, Machine Learning, Tableau, Power BI",$70K - $90K
CapsLock,Sustainability Data Analyst,UAE,Yes,Senior,2025-01-26,No,429,"Tableau, Power BI, SQL",£40K - £50K
Dataleum,Data Science Intern,Spain,No,Trainee,2025-01-27,No,70,"Data Visualization, Machine Learning, Tableau, Excel",€35K - €45K
Peroptyx,Sustainability Data Analyst,Nigeria,Yes,Senior,2025-01-28,Yes,15,"SQL, Statistics, ETL, Data Visualization, Python",Not Disclosed
Oeson Learning™,Data Scientist,UAE,No,Mid-level,2025-01-24,Yes,395,"Excel, Machine Learning, Data Visualization, Power BI",€50K - €60K
Oeson Learning™,Data Scientist,United Kingdom,No,Senior,2025-02-04,No,458,"Data Visualization, Tableau, Machine Learning",$50K - $70K
Peroptyx,Data Analyst,Italy,Yes,Freelance,2025-02-08,No,351,"Statistics, Python, Data Visualization, Power BI, SQL, Big Data",€35K - €45K
Oeson Learning™,Data Scientist,Italy,No,Freelance,2025-02-06,No,471,"Power BI, Data Visualization, Big Data, Statistics, ETL, SQL",€35K - €45K
Found By Few,Sustainability Data Analyst,Italy,No,Internship,2025-02-05,Yes,37,"Excel, SQL, Big Data, Python",$50K - $70K
Talent Glider,Data Analyst,Portugal,No,Mid-level,2025-02-19,Yes,109,"SQL, Statistics, ETL",$50K - $70K
Dataleum,Data Science Intern,UAE,Yes,Entry-level,2025-02-11,No,247,"Python, Data Visualization, Power BI, SQL, Machine Learning",$70K - $90K
Talent Glider,Freelance Online Data Analyst,Italy,Yes,Senior,2025-01-25,No,227,"Data Visualization, SQL, Excel, Machine Learning",€50K - €60K
Cochrane,Data Science Intern,UAE,Yes,Fellowship,2025-01-27,No,140,"Excel, Statistics, ETL, Data Visualization, Python",£40K - £50K
